timestamp,type,user,unique_id,detail
2026-03-13 21:34:52,join,ᚣᚳᛊᚻᛕᛨᚴ_ᛇᛒᛊᛠᛜᛈᛊᛕ,miroggi_78,入室
2026-03-13 21:35:03,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:35:42,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:35:58,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:36:03,join,user8174715237443,user8174715237443,入室
2026-03-13 21:36:15,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:37:46,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:37:57,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:38:00,join,るちゃ❄️🩵,benoznvwmhi,入室
2026-03-13 21:38:46,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:38:55,join,DIO（りゅう）,dio06408,入室
2026-03-13 21:39:11,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:39:26,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
